Zone,Price,Years,Rooms,Area,NumberOfElevators,floor,direction
,6600,7,3,132,1,1,شمالی
,9775,1,2,115,1,2,شمالی
 ,"13,50",1,3,145,1,4,شمالی
".منطقه 1
            ",10150,3,3,145,1,3,شمالی
 ,6300,0,2,90,1,3,جنوبی
 ,13284,2,3,162,1,3,شمالی
"  جمشیدیه
            ",13284,2,3,162,1,3,شمالی
  قیطریه ,13176,2,3,156,1,3,
  اختیاریه ,3250,15,2,65,1,3,
  اختیاریه ,3780,15,2,90,1,1,
  دیباجی ,"7,98",10,3,169,1,3,
  ظفر ,6900,0,2,115,1,4,
  الهیه ,11,19,3,170,1,1,
  سعدی رشت ,700,12,2,79,1,4,
  قیطریه ,13175,2,3,153,1,3,
  خیابان دولت ,3780,15,2,90,1,1,
  کاشانک ,8760,5,2,120,1,4,
  خیابان دولت ,4480,5,1,64,1,2,
  هروی ,8568,1,2,126,1,1,
" در فرمانیه
            ",15,0,2,125,1,2,جنوبی
  تهرانپارس غربی ,2720,5,2,85,1,1,جنوبی
  اختیاریه ,6500,13,2,90,1,3,
  خیابان دولت ,6499,5,2,97,1,1,
  پاسداران ,10,18,3,156,1,6,
" در قیطریه
            ",9717,4,2,123,1,1,جنوبی، غربی
  تهرانپارس شرقی ,4300,8,3,128,1,3,جنوبی
  میرداماد ,9700,0,3,138,1,3,
  تهرانپارس غربی ,6,7,3,130,1,5,شمالی
  از برج فرمانیه ,15,0,2,125,2,2,-
  فلکه اول تهرانپارس ,4700,2,2,100,1,4,شمالی
  میرداماد ,17,0,3,207,1,5,
" در قیطریه
            ",8662500,6,2,111,1,1,جنوبی
  قیطریه ,5700,15,2,105,1,2,
" در نیاوران
            ",7656,2,2,116,1,5,شمالی
  پاسداران ,8540,17,3,140,1,1,
  قیطریه ,10200,20,3,167,1,2,
  ولنجک ,25,0,3,200,0,7,
  خیابان دولت ,5,25,2,75,1,1,
  الهیه ,30,0,3,250,0,3,
  دیباجی ,2980,9,2,61,1,3,
  خیابان دولت ,4800,15,2,93,1,1,
" در فرمانیه
            ",7425,2,3,135,1,2,جنوبی
  میرداماد ,5100,3,1,70,1,2,
  نیاوران ,14,4,3,158,1,3,
  خیابان دولت ,12350,1,4,190,1,6,
  الهیه ,25480,0,3,196,0,2,
  پاسداران ,2300,25,1,42,1,3,
  خیابان دولت ,5600,5,2,95,1,3,
  قیطریه ,6700,14,2,103,1,2,
  خیابان دولت ,9,20,3,135,1,1,
  خیابان دولت ,5500,15,2,100,1,1,
" در دارآباد
            ",5500,16,2,110,1,4,جنوبی
  خیابان دولت ,6700,30,3,144,1,2,
  قیطریه ,6900,5,2,110,1,4,
  زعفرانیه ,33600,3,4,280,0,3,
  خیابان دولت ,6,2,2,100,1,2,
 ,"9,40",10,2,113,2,3,شمالی
  قیطریه ,10440,15,3,174,1,5,
" در قیطریه
            ",6700,14,2,100,1,4,جنوبی
" در نیاوران
            ",13395,0,2,141,1,2,شمالی
  خیابان دولت ,2900,17,1,67,1,3,
  الهیه ,36,2,3,300,0,5,
  پاسداران ,10400,0,0,130,1,3,
  میرداماد ,14800,13,4,270,1,5,
  خیابان دولت ,8400,15,1,150,1,5,
  پاسداران ,5600,12,2,80,1,3,
  خیابان دولت ,10400,0,0,160,1,2,
  خیابان دولت ,4,0,0,63,1,1,
" در نیاوران
            ",8400,5,2,120,1,2,جنوبی
  نیاوران ,17,0,3,170,1,6,شمالی
  میرداماد ,7500,15,3,150,1,5,
  جلفا تهران ,2850,9,1,60,1,3,
  خیابان دولت ,10500,12,3,150,1,1,
  جلفا تهران ,2850,9,1,60,1,3,
  پاسداران ,34700,0,3,267,1,5,
  ظفر ,4,18,1,63,1,1,
  فرمانیه ,10600,4,2,125,1,4,
  سعدی رشت ,855,0,2,114,1,3,
  قیطریه ,28200,0,3,237,1,3,
  سعدی رشت ,650,6,2,85,1,3,
  خیابان دولت ,4300,11,1,75,1,4,
  هروی ,8700,0,3,116,1,2,
  میرداماد ,"7,20",1,2,90,1,5,
  پاسداران ,13,7,3,149,1,4,
  پاسداران ,8540,17,3,140,1,0,
  ظفر ,9648,0,3,137,1,2,
  جلفا تهران ,2200,25,2,75,1,4,
  کامرانیه شمالی ,11870,1,2,113,1,2,جنوبی
  ظفر ,9600,0,3,130,1,2,
  اختیاریه ,7800,12,3,150,1,3,
" در فرمانیه
            ",10625,4,2,125,1,1,شرقی، جنوبی
  میرداماد ,19135,0,4,215,1,3,
  جمشیدیه ,38,1,4,250,2,5,جنوبی
  ظفر ,6300,1,2,105,1,7,
  ظفر ,2950,0,2,70,1,4,
  جردن ,6500,30,2,130,1,3,
  نیاوران ,10132,4,3,149,1,1,جنوبی
  میرداماد ,12950,1,3,185,1,3,
  از برج کامرانیه شمالی ,40,1,4,250,2,8,دارد
  از برج زعفرانیه ,90,1,4,450,5,18,دارد
  جردن ,12300,1,3,154,1,1,
  سعدی رشت ,2257500,0,3,129,1,1,
  زعفرانیه ,80,1,4,400,2,11,دارد
  صاحبقرانیه ,100,1,4,400,2,11,دارد
  هروی ,8820,0,2,126,1,1,
  ظفر ,7800,6,1,131,1,1,
  جردن ,4400,30,1,66,1,4,
" در دزاشیب
            ",10585,0,2,145,1,4,شمالی
  اندرزگو ,6300,4,2,90,1,1,شمالی، غربی
  ظفر ,18,0,3,215,1,3,
  هروی ,5300,18,2,106,1,1,
  هروی ,4,0,2,82,1,4,
  جلفا تهران ,4300,0,2,85,1,4,
  میرداماد ,10780,0,3,140,1,5,
  میرداماد ,10780,0,3,140,1,5,
  میرداماد ,12899999999,0,3,187,1,3,
" در نیاوران
            ",9700,15,2,125,2,3,شمالی، جنوبی
  زعفرانیه ,38640,1,4,322,0,3,
  هروی ,4,0,2,82,1,4,
  گلسار ,4585,8,3,131,1,1,
  میرداماد ,12950,1,3,185,1,3,
  هروی ,4,11,2,82,1,4,
  اختیاریه ,10800,11,3,167,1,2,
  میرداماد ,8,1,2,95,1,5,
  قیطریه ,9,0,2,100,1,6,
  هروی ,4200,8,2,70,1,4,
  ظفر ,6300,1,2,105,1,7,
  ظفر ,7200,5,2,120,1,4,
  جردن ,12700,1,3,175,1,3,
  اختیاریه ,6500,16,3,114,1,2,
  اختیاریه ,6500,16,3,114,1,2,
  هروی ,3600,15,2,83,1,2,
  خیابان دولت ,8,5,2,120,1,1,
  اختیاریه ,7300,19,3,165,1,2,
  قیطریه ,4300,24,2,110,1,3,
  دزاشیب ,5500,15,2,95,1,3,
  قیطریه ,5,20,2,90,1,2,
  دیباجی ,4300,19,3,107,1,1,
  فرمانیه ,8800,13,1,80,1,0,
  اختیاریه ,4300,1,1,65,1,1,
  قیطریه ,4300,24,2,115,1,3,
  قیطریه ,3200,20,1,80,1,3,
  دیباجی ,3,20,1,71,1,4,
  قیطریه ,4300,25,2,105,1,1,
  قیطریه ,9540,3,2,135,1,7,
  دیباجی ,8450,2,5,245,1,5,
  جلفا تهران ,2500,14,1,61,1,1,
  شریعتی ,10800,14,3,180,1,1,
  اختیاریه ,10,0,3,125,1,2,
  فرمانیه ,25500,1,3,170,1,4,جنوبی
" فرمانیه منطقه ۱
            ",18700,1,3,170,2,6,-
" فرمانیه  منطقه ۱
            ",21450,1,3,195,2,6,-
"  فرمانیه منطقه ۱
            ",24,1,3,185,2,6,
  میرداماد ,4200,14,2,80,1,1,
  اختیاریه ,4800,19,2,100,1,3,
  خیابان دولت ,13,3,3,200,1,4,
 ,44,5,4,440,2,6,شمالی
  تیرانداز ,4500,6,3,140,1,2,جنوبی
  میرداماد ,7500,13,3,150,1,5,
  نیاوران ,16880,5,3,210,1,3,
  پاسداران ,10686,0,3,137,1,5,
  پاسداران ,9500,0,2,123,1,2,
  قیطریه ,4800,20,2,90,1,3,
" فرمانیه
            ",18,0,3,150,1,2,دارد
 ,21360,0,3,178,2,2,دارد
  اختیاریه ,10900,0,3,146,1,3,
" فرمانیه
            ",22200,0,3,185,2,3,دارد
" فرمانیه
            ",,0,3,175,2,5,
" فرمانیه
            ",14,0,3,175,2,5,شمالی
  دیباجی ,13,0,3,175,1,2,
 ,47,0,3,330,2,11,جنوبی
  قیطریه ,6180,12,3,103,1,4,
  قیطریه ,12300,13,3,150,1,2,
  میرداماد ,7240,23,3,135,1,4,
  قیطریه ,6600,10,2,90,1,3,
" آجودانیه
            ",12,0,3,220,2,1,دارد
"   اقدسیه منطقه ۱
            ",15130,—,3,178,2,2,-
  میرداماد ,7748,15,3,149,1,5,
  میرداماد ,12950,0,3,185,1,3,
  ظفر ,6300,1,2,105,1,7,
  قیطریه ,13130,2,3,160,1,5,
  قیطریه ,12225,3,3,163,1,4,
  مهران ,6900,1,2,110,1,4,
  اختیاریه ,10800,10,3,167,1,2,
  جلفا تهران ,2650,25,1,71,1,2,
  اختیاریه ,12500,3,3,150,1,3,
  دیباجی ,8800,20,3,160,1,4,
  میرداماد ,9200,0,2,115,1,4,
  ظفر ,7900,8,3,131,1,1,
  ونک ,8,24,4,200,1,2,
  ولنجک ,17860,1,3,188,0,5,
" اقدسیه
            ","14,94",0,3,162,1,5,جنوبی
  میرداماد ,18390,0,3,210,1,2,
  ظفر ,7910,1,2,116,1,2,
  جردن ,3953,30,1,70,1,2,
  میرداماد ,7950,3,2,118,1,4,
  میرداماد ,4900,1,1,70,1,2,
  ظفر ,7350,0,3,115,1,1,
  میرداماد ,8400,1,3,120,1,4,
  میرداماد ,5700,9,2,115,1,3,
  جلفا تهران ,4400,14,2,100,1,4,
  اختیاریه ,11,5,3,170,1,2,
  زعفرانیه ,21,4,3,200,0,4,
  اختیاریه ,6750,5,2,115,1,2,
  ظفر ,7280,7,2,112,1,2,
  هروی ,7755,7,3,140,1,4,
  میرداماد ,9180,0,3,135,1,4,
  پاسداران ,4350,0,1,68,1,1,
  میرداماد ,7560,0,3,180,1,5,
  میرداماد ,9970,1,2,135,1,1,
  از برج کامرانیه جنوبی ,50,1,4,440,2,4,دارد
  ولنجک ,22575,0,3,215,0,5,
  از برج نخجوان ,62,1,4,350,4,10,دارد
  جلفا تهران ,9,0,1,142,1,3,
  میرداماد ,12950,1,2,185,1,3,
  پاسداران ,16200,0,3,180,1,1,
  خیابان دولت ,12350,2,4,190,1,6,
  ظفر ,15300,0,3,222,1,2,
  از برج زعفرانیه ,100,1,5,550,2,8,دارد
  از برج ولنجک ,110,1,4,550,2,10,دارد
  اختیاریه ,4800,2,2,85,1,5,
  جردن ,6,11,2,110,1,18,
  صاحبقرانیه ,58,1,3,260,2,5,شمالی، جنوبی
  اختیاریه ,9700,14,3,195,1,4,
  از برج ولنجک ,60,1,5,470,5,22,دارد
  هروی ,7941,7,3,141,1,4,
" نبرد شمالی
            ",1800,12,2,80,0,3,جنوبی
" کریمشاهیان
            ",2425,14,3,97,1,5,شرقی
" دهم فروردین
            ",2340,0,2,90,1,,شمالی
  پاسداران ,3700,8,1,55,1,5,
" مقداد
            ",1320,24,1,60,0,1,جنوبی
  صاحبقرانیه ,105,1,5,570,2,6,شرقی، غربی
" نبرد شمالی
            ",1600,15,2,77,0,2,جنوبی
  خیابان دولت ,6935,3,2,95,1,3,
  هروی ,6,0,4,200,1,6,
  اختیاریه ,6935,3,2,95,1,3,
  شمس آباد ,4800,2,2,102,1,2,
  قیطریه ,6640,5,2,110,1,2,
  جردن ,8,40,3,160,1,3,
  خیابان دولت ,8900,0,3,116,1,2,
  دزاشیب ,8500,4,2,121,1,3,
  اختیاریه ,6830,5,2,99,1,5,
  سید خندان ,5370,6,3,125,1,1,
  ظفر ,6350,0,2,100,1,7,
  قیطریه ,8700,11,2,150,1,0,
  ظفر ,6,30,3,120,1,2,
  دیباجی ,6180,11,3,103,1,4,
  قیطریه ,5100,30,2,90,1,3,
  میرداماد ,10500,0,3,150,1,1,
  جلفا تهران ,8,25,3,146,1,1,
  قبا ,7,0,2,100,1,3,
  دیباجی ,4320,19,3,107,1,1,
  مهران ,6900,0,2,115,1,2,
  اختیاریه ,4900,12,2,85,1,5,
  میرداماد ,10250,1,3,137,1,5,
  ظفر ,6300,1,2,105,1,7,
  قیطریه ,10332,0,2,127,1,5,
  هروی ,7100,18,3,146,1,5,
  هروی ,6,5,2,115,1,1,
  اختیاریه ,7300,19,3,165,1,2,
  میرداماد ,11385,0,3,165,1,1,
  پاسداران ,2400,16,1,60,1,2,
  میرداماد ,12400,0,3,185,1,3,
  پاسداران ,9600,6,3,120,1,4,
  اختیاریه ,10100,1,3,170,1,5,
  اختیاریه ,8400,15,3,150,1,5,
  مهران ,6400,2,2,110,1,4,
  میرداماد ,12,0,3,180,1,3,
  میرداماد ,12950,1,3,185,1,3,
  قلهک ,6300,14,2,113,1,3,
  ظفر ,6300,1,2,105,1,7,
  قیطریه ,4300,0,1,70,1,1,
  سید خندان ,4500,26,2,105,1,2,
  مهران ,4500,25,2,105,1,2,
  میرداماد ,5250,0,1,70,1,2,
  دیباجی ,4320,19,3,107,1,1,
  تهرانپارس غربی ,9600,0,3,202,1,1,شمالی
  میرداماد ,8800,0,2,110,1,2,
  تهرانپارس غربی ,3350,10,2,92,1,4,جنوبی
  پاسداران ,8400,15,3,140,1,1,
  ظفر ,7900,8,3,130,1,1,
  از برج فرمانیه ,78,4,4,430,2,7,-
  ظفر ,7900,8,3,130,1,1,
  تهرانپارس غربی ,5350,7,3,167,1,5,جنوبی
  نیاوران ,17850,3,3,210,1,,شمالی، جنوبی
  قیطریه ,6400,5,2,110,1,2,
  پاسداران ,4300,0,1,68,1,1,
  فرمانیه ,"10,80",0,2,120,1,4,
  یاسر ,16,194,3,194,2,6,شمالی، جنوبی
  تهرانپارس غربی ,14800,0,3,230,1,2,جنوبی
  ظفر ,7280,7,2,112,1,2,
  اختیاریه ,10,0,3,125,1,5,
  ظفر ,5900,30,3,131,1,2,
  جردن ,12400,0,3,155,1,1,
  میرداماد ,11800,18,3,210,1,5,
  ظفر ,4900,8,2,70,1,5,
  اختیاریه ,5555,14,2,101,1,0,
  فرمانیه ,10,7,3,145,1,4,
  ونک ,5250,1,1,70,1,1,
  قیطریه ,13700,0,3,157,1,3,
  پاسداران ,4675,0,2,85,1,1,
  زعفرانیه ,23100,1,3,210,0,3,
  ظفر ,6270,0,2,110,1,7,
  خیابان دولت ,7600,2,2,100,1,5,
  نیاوران ,21600,0,3,172,1,3,
  نیاوران ,6400,13,2,104,1,3,
  میرداماد ,5850,0,2,75,1,3,
  ظفر ,5600,1,2,80,1,4,
  جردن ,12600,0,3,145,1,1,
  اختیاریه ,6900,0,2,110,1,5,
  جردن ,7600,0,2,95,1,1,
" در نیاوران
            ",7280,4,2,112,1,1,
  میرداماد ,5250,0,1,70,1,1,
  قیطریه ,10290,150,3,150,1,4,
  دروس ,7416640,0,2,86,1,5,
 ,8470,4,2,121,1,3,جنوبی
  میرداماد ,12800,0,3,170,1,3,
 ,17600,0,2,110,1,8,شمالی، جنوبی
  دزاشیب ,7865,4,2,121,1,3,جنوبی
  قیطریه ,6720,13,2,105,1,5,
  ظفر ,16200,0,3,200,1,3,
  ظفر ,"3,80",1,2,70,1,4,
  ظفر ,6300,0,2,110,1,7,
  قیطریه ,12642,1,3,129,1,4,شمالی
  میرداماد ,12950,1,3,185,1,3,
  گلسار ,1500,13,2,75,1,4,
  ظفر ,"6,90",1,2,105,1,7,
  ظفر ,15540,0,3,222,1,2,
  نیاوران ,"9,40",0,2,113,2,3,شمالی
  هروی ,4600,18,2,110,1,3,
  الهیه ,29700,1,3,270,0,2,
  ظفر ,10300,0,3,150,1,5,
  نیاوران ,11200,0,2,131,1,2,
  زعفرانیه ,13775,12,3,145,0,2,
  میرداماد ,9250,0,2,122,1,2,
  گیلان ,1326,3,2,78,1,3,
  نیاوران ,17900,9,3,211,1,3,شمالی، جنوبی
  پاسداران ,13,20,4,200,1,1,
  سعدی رشت ,700,15,2,85,1,4,
  سعدی رشت ,900,24,2,71,1,2,
  قیطریه ,7800,14,3,120,1,1,
  ظفر ,7500,0,2,98,1,5,
  اختیاریه ,7,0,2,100,1,1,
  پاسداران ,6800,4,2,100,1,6,
  خیابان دولت ,10800,5,3,180,1,1,
  اختیاریه ,7500,0,2,110,1,2,
  دروس ,11172,1,2,147,1,4,
  فرمانیه ,15700,0,3,170,1,5,
  پاسداران ,3200,16,2,107,1,4,
  قیطریه ,10700,0,3,122,1,2,
  قیطریه ,5700,6,2,92,1,5,
  میرداماد ,5250,4,1,70,1,1,
  اختیاریه ,6820,0,2,110,1,5,
  هروی ,3936,9,2,82,1,4,
  ظفر ,2950,0,2,70,1,4,
  میرداماد ,9200,13,3,150,1,5,
  قلهک ,4300,17,1,63,1,2,
  زعفرانیه ,27600,0,3,230,0,5,
  پاسداران ,7800,0,3,130,1,5,
  پاسداران ,4300,1,1,68,1,1,
  دیباجی ,7400,14,2,120,1,1,
  اختیاریه ,12,27,3,170,1,2,
  جردن ,7225,0,2,85,1,0,
  میرداماد ,8500,3,3,130,1,1,
  زعفرانیه ,36,12,4,330,1,4,
  میرداماد ,12700,0,3,185,1,3,
  شریعتی ,7900,0,3,115,1,2,
  ظفر ,7280,6,2,112,1,2,
  میرداماد ,28,1,4,350,1,4,
  اختیاریه ,12750,0,3,150,1,1,
  میرداماد ,9150,1,2,123,1,2,
  سعدی رشت ,650,14,2,75,1,3,
  دروس ,3300,10,2,90,1,2,
  اختیاریه ,8200,5,3,126,1,1,
  دیباجی ,4,15,2,95,1,1,
  اختیاریه ,6820,0,2,110,1,3,
  اختیاریه ,8500,17,3,150,1,5,
  نیاوران ,10900,10,3,150,1,1,
  ظفر ,7500,8,2,112,1,2,
  تهرانپارس غربی ,11200,0,3,193,1,2,شمالی
  قیطریه ,6450,5,2,110,1,2,
  قیطریه ,8550,3,2,114,1,5,
  قیطریه ,6600,17,2,101,1,3,
  بهار ,6450,5,3,145,1,1,شمالی، جنوبی
  میرداماد ,12,18,3,210,1,5,
  میرداماد ,18450,0,3,205,1,3,
  تهرانپارس شرقی ,4300,7,3,140,1,2,جنوبی
  قلهک ,5640,0,2,78,1,4,
  اختیاریه ,6800,0,2,110,1,5,
  میرداماد ,7,18,2,125,1,2,
  میرداماد ,23,2,3,200,1,4,
  ظفر ,6,35,3,131,1,2,
  قیطریه ,13500,14,3,209,1,3,شمالی
  قلهک ,1950,15,1,40,1,0,
  دروس ,10,1,2,100,1,3,
  اختیاریه ,6560,6,2,82,1,4,
  زعفرانیه ,33,0,3,260,0,10,
  قلهک ,17550,0,3,195,1,4,
  دزاشیب ,12700,0,2,127,1,8,
  اختیاریه ,6900,15,2,120,0,0,
  زعفرانیه ,20900,1,3,190,0,,
  اختیاریه ,6820,0,2,110,1,5,
  میرداماد ,4240,14,1,80,1,1,
  ظفر ,5600,0,2,80,1,4,
  قلهک ,5460,10,2,78,1,2,
  دیباجی ,3200,9,2,61,1,3,
  ولنجک ,15680,2,3,160,0,,
  میرداماد ,12950,1,3,185,1,3,
  ظفر ,3350,24,2,70,1,1,
  اختیاریه ,8400,8,2,127,1,2,
  ظفر ,2950,0,2,70,1,4,
  ظفر ,6300,0,2,110,1,7,
  قبا ,2800,5,1,46,1,4,
  از برج کامرانیه شمالی ,70,1,4,400,4,11,دارد
  از برج لواسانی ,60,1,4,350,4,11,دارد
  جمشیدیه ,40,1,3,250,2,5,شمالی، جنوبی
  نیاوران ,9,5,2,100,1,2,
  یاسر ,70,1,4,550,2,5,دارد
  از برج یاسر ,65,1,4,412,2,5,دارد
  نیاوران ,27,2,4,270,1,4,
  صاحبقرانیه ,100,1,4,400,2,10,دارد
  از برج فرشته ,50,1,4,350,2,7,دارد
  اختیاریه ,4125,16,2,76,1,4,
  کامرانیه جنوبی ,60,1,4,450,2,4,جنوبی
  ظفر ,7200,0,2,115,0,5,
  زعفرانیه ,70,1,4,500,2,10,دارد
  خیابان دولت ,6380,6,2,110,1,2,
  میرداماد ,7200,27,2,117,1,2,
  قیطریه ,7475,15,2,115,1,3,
  پاسداران ,7800,7,2,108,1,2,
  خیابان دولت ,5,5,2,100,1,6,
  هروی ,4200,1,2,120,1,3,
  دروس ,7870,2,2,105,1,4,
  زعفرانیه ,30,8,4,250,0,4,
  قلهک ,5500,22,1,64,1,4,
  میرداماد ,17850,0,3,210,1,2,
  خیابان دولت ,10800,5,3,180,1,1,
  میرداماد ,17850,0,3,200,1,2,
  از برج الهیه ,30,0,3,270,3,6,-
  اختیاریه ,14800,0,3,195,1,2,
  قلهک ,6800,15,3,135,1,1,
  میرداماد ,17850,0,3,210,1,2,
  میرداماد ,26250,1,4,350,1,3,
  ظفر ,6300,1,2,105,1,7,
  اختیاریه ,4300,19,3,107,1,1,
  خیابان دولت ,4300,19,3,107,1,1,
  فرشته ,33600,0,3,280,0,4,
  پاسداران ,7,0,2,88,1,5,
  میرداماد ,7800,0,2,120,1,5,
  اختیاریه ,7125,3,2,95,1,3,
  میرداماد ,7800,0,2,120,1,5,
  ونک ,7200,18,3,130,1,5,
  ونک ,8350,1,2,115,1,4,
  قلهک ,4700,15,2,83,1,4,
  پاسداران ,7,0,2,110,1,3,
  قلهک ,4350,25,2,95,1,2,
  اختیاریه ,4300,19,3,107,1,1,
  اختیاریه ,6800,0,2,110,1,5,
  اختیاریه ,18500,5,3,200,1,6,
  میرداماد ,12950,1,3,185,1,3,
  قلهک ,7200,24,2,110,1,4,
  ظفر ,2950,0,2,70,1,4,
  دیباجی ,9700,0,2,130,1,4,
  ظفر ,60,0,2,100,1,2,
  قلهک ,7840,0,2,112,1,3,
  نیاوران ,11990,0,3,150,1,5,
  قلهک ,7875,4,2,105,1,4,
  پاسداران ,7150,15,3,140,1,4,
  پاسداران ,7150,15,3,140,1,4,
  ظفر ,4500,18,2,100,1,3,
  ظفر ,9,0,3,130,1,7,
  جردن ,4250,17,1,83,1,3,
  خیابان دولت ,8500,9,2,130,1,3,
  اختیاریه ,6430,5,2,110,1,2,
  ظفر ,9,0,3,130,1,7,
  قیطریه ,12800,0,3,150,1,4,
  ظفر ,9,0,3,130,1,7,
  جردن ,5625,0,1,75,1,1,
  میرداماد ,6670,10,2,81,1,3,
  اختیاریه ,5700,20,2,125,1,4,
  تهرانپارس ,4950,0,2,105,1,2,شمالی
  تیرانداز ,4,0,2,81,1,5,جنوبی
  هروی ,5300,15,2,106,1,1,
  هروی ,4550,18,2,111,1,3,
  هروی ,5150,5,2,115,1,1,
  تهرانپارس غربی ,4200,—,2,101,1,1,جنوبی
  تهرانپارس شرقی ,4300,8,3,128,1,3,جنوبی
  قیطریه ,7450,15,3,120,1,2,
  تهرانپارس غربی ,9500,0,3,202,1,1,شمالی
  اختیاریه ,18999,0,3,228,1,2,
  پاسداران ,5858,4,2,101,1,3,
  قلهک ,5700,20,2,114,1,1,
  حسین آباد ,4300,10,2,93,1,1,
" دهقان
            ",3190,0,2,110,1,,جنوبی
  دیباجی ,8650,5,3,120,1,1,
" اقدسیه
            ",20375,0,3,163,1,6,شمالی
" نبرد شمالی
            ",1200,18,2,75,0,4,
" افسریه
            ",980,8,2,64,0,4,شمالی
  زعفرانیه ,12800,0,3,160,1,3,
" نبرد شمالی
            ",1200,19,1,54,0,1,جنوبی
  میرداماد ,8330,0,2,98,1,5,
" اقدسیه
            ",20375,0,3,163,1,6,شمالی
  قلهک ,7215,4,2,111,1,3,
"  اندرزگو فرمانیه
            ",13600,8,3,170,1,1,شمالی
" نبرد شمالی
            ",1350,2,1,46,1,4,
  ظفر ,6780,12,3,160,1,3,
" مقداد
            ",3,5,2,100,1,5,شمالی
" نبرد شمالی
            ",1236,11,1,53,0,2,جنوبی
  فرمانیه ,11500,3,3,138,1,4,
"  قیطریه
            ",16269,12,3,187,2,5,جنوبی
  ظفر ,15580,0,3,190,1,2,
"  اقدسیه
            ",14,9,3,200,1,1,شرقی
  قیطریه ,8150,7,2,120,1,3,
  خیابان دولت ,18999,2,3,242,1,5,
" محصل
            ",4158,0,3,126,1,5,شمالی
  میرداماد ,8850,15,3,155,1,4,
  قیطریه ,8125,7,2,125,1,2,
  قبا ,7700,0,2,100,1,1,
  میرداماد ,6500,30,2,125,1,1,
" آجودانیه
            ",16830,3,3,198,1,4,جنوبی
  میرداماد ,7150,15,2,127,1,2,
  اختیاریه ,7200,1,2,117,1,4,
" اقدسیه
            ",22560,2,3,188,2,8,
  قلهک ,6500,27,2,115,1,1,
"  نیاوران
            ",16,—,3,200,1,3,
  ظفر ,16200,0,3,200,1,3,
  زعفرانیه ,27500,5,4,275,0,,
  سعدی رشت ,2500,0,2,110,1,2,
  قیطریه ,5500,14,2,97,1,4,
" نیاوران بوکان
            ",20265,4,3,193,1,2,جنوبی
  قلهک ,5175,30,2,115,1,1,
  گلسار ,2296,10,3,116,1,2,
  الهیه ,27500,0,3,220,0,6,
  نیاوران ,9200,0,2,100,1,5,
 ,15,1,3,150,1,3,شمالی
"  نیاوران
            ",21500,—,3,172,2,3,جنوبی
  گلسار ,2108,0,3,124,1,4,
  قیطریه ,6375,0,2,85,1,3,
  گلسار ,2700,0,3,135,1,3,
  هروی ,7260,0,2,110,1,5,
  ونک ,6300,15,2,95,1,2,
  گلسار ,1827,0,2,105,1,3,
  گلسار ,2150,20,2,91,1,3,
  گلسار ,2700,0,3,135,1,2,
  خیابان دولت ,12400,0,4,190,1,6,
  قیطریه ,10700,0,3,122,1,4,
"  آجودانیه
            ",16830,3,3,198,1,4,جنوبی
  اختیاریه ,6200,21,2,114,1,4,
  سعدی رشت ,2500,0,2,110,1,2,
  ونک ,7200,14,3,125,1,4,
  ظفر ,6300,0,2,110,1,7,
  حسین آباد ,4600,18,2,110,1,3,
  اختیاریه ,8967,12,3,147,1,2,
  گلسار ,1800,1,2,150,1,3,
  قلهک ,7700,0,2,110,1,5,
  میرداماد ,10920,0,3,140,1,5,
  گلسار ,1644,11,3,137,1,2,
  قیطریه ,8300,0,2,110,1,4,
  اختیاریه ,7800,5,2,120,1,1,
  قیطریه ,4900,30,2,90,1,2,
  حسین آباد ,4800,18,2,120,1,2,
  شریعتی ,10800,0,3,150,1,2,
  ظفر ,2950,0,2,70,1,4,
  میرداماد ,17850,0,3,200,1,2,
  ظفر ,63,0,2,110,1,7,
  میرداماد ,12,18,3,210,1,5,
  پاسداران ,37950,0,4,345,1,4,
  ظفر ,5900,30,3,131,1,2,
  ظفر ,5600,1,2,80,1,4,
  خیابان دولت ,7840,0,2,112,1,3,
  اختیاریه ,7797,1,2,113,1,5,
  سعدی رشت ,800,18,2,103,1,3,
  قیطریه ,6400,0,1,71,1,5,
  سعدی رشت ,700,16,2,75,1,3,
  نیاوران ,16800,5,3,210,1,3,
  هروی ,8450,98,3,130,1,6,
  سعدی رشت ,700,16,2,75,1,3,
  ظفر ,10,0,3,136,1,2,
  سعدی رشت ,960,0,3,120,1,3,
  سعدی رشت ,960,0,3,120,1,3,
  میرداماد ,7,12,3,125,1,4,
  سعدی رشت ,"1,45",0,2,110,1,3,
  قبا ,6120,2,2,102,1,5,
  سعدی رشت ,810,15,1,80,1,3,
  از برج فرشته ,80,1,4,400,2,10,دارد
  میرداماد ,6300,4,2,110,1,4,
  میرداماد ,17850,0,3,210,1,2,
  هروی ,4900,4,2,78,1,3,
  میرداماد ,11500,0,3,136,1,3,
  قیطریه ,8500,3,2,114,1,4,
  اختیاریه ,6820,0,2,110,1,5,
  قلهک ,5600,27,3,130,1,3,
  میرداماد ,8830,18,3,155,1,5,
  میرداماد ,11571,0,3,133,1,6,
  زعفرانیه ,22,0,3,200,0,,
  خیابان دولت ,7100,8,3,170,1,3,
  ظفر ,7,0,2,93,1,5,
  ولنجک ,24360,0,3,203,0,6,
  قیطریه ,6935,10,2,95,1,3,
  میرداماد ,9970,0,2,135,1,1,
  میرداماد ,5720,14,1,110,1,6,
  زعفرانیه ,19800,1,3,180,0,,
